ItrTime,Perplexity,EnvExecTime,MeanKLBefore,NumTrajs,AbsLearnSignalNew,AverageDiscountedReturn,StdReturn,dLoss,AbsLearnSignalOld,AveragePolicyStd,AverageReturn,MinReturn,LossAfter,ExplainedVariance,AbsLearnSignal,MaxReturn,Iteration,MeanKL,Entropy,LossBefore,PolicyExecTime,ProcessExecTime,Time,,,,,,
0.9080448151,17.473898,12.226914,0.0837640762,0,1,0.7436928039,-6.9359958614,0,0.07099183,0.7442104539,-31.6669498051,,-6.9981005444,-31.6669498051,-0.116789594,-6.9952497,14.115181,-11.5529567287,0.7436928039,-31.6669498051,49,0.0088789705,12.3702906922,2.8607082,-0.04579777,1.5636991516,0.0638079643,0.0033788681,45.8381676674
0.9219591618,17.50706,12.16657,0.0823194981,0,1,0.8315750332,-0.2775991456,0,0.044293404,0.8266402292,-15.0954603863,,-6.6546180615,-15.0954603863,-1.5944288,-6.6354866,14.8964815,0.2599418865,0.8315750332,-15.0954603863,50,0.008712346,12.3403390694,2.8626041,-1.5501354,1.5991813495,0.0642359257,0.0035028458,46.7654221058
0.9358179569,16.921337,12.146341,0.0889558792,0,1,0.7588281541,4.1711626001,0,0.051815987,0.7588826876,-11.3827938549,,-6.5483494485,-11.3827938549,-1.1879213,-6.5427623,14.254969,-3.210176038,0.7588281541,-11.3827938549,51,0.0066289823,12.3181048874,2.8285754,-1.1361053,1.5496623688,0.0651988983,0.0037639141,47.7068932056
0.9264035225,16.524311,11.904364,0.0828368664,0,1,0.7627565056,-4.2739554963,0,0.04898691,0.7655994786,-23.7374806976,,-6.0070726794,-23.7374806976,-1.0003083,-5.980504,16.297775,-0.2391006123,0.7627565056,-23.7374806976,52,0.0067957575,12.1128938343,2.8048327,-0.95132136,1.6020777465,0.0656535625,0.0035095215,48.6392002106
0.9337320328,16.270235,11.668083,0.0878791809,0,1,0.7566874796,12.0886639972,0,0.06175889,0.7575954723,12.9091942427,,-5.6557874857,12.9091942427,-0.21650305,-5.6512365,11.940607,-22.3047400365,0.7566874796,12.9091942427,53,0.0065925936,11.8418591962,2.7893374,-0.15474416,1.4922650781,0.0651333332,0.00345397,49.5795061588
0.9272909164,16.18863,11.949995,0.0875756741,0,1,0.8145634021,18.7416895847,0,0.06381172,0.8143880827,31.6715484062,,-5.9216046132,31.6715484062,-0.78992635,-5.91529,14.264151,-18.5276325976,0.8145634021,31.6715484062,54,0.008348096,12.1312713268,2.7843091,-0.72611463,1.589180827,0.0632021427,0.0033509731,50.5128850937
0.8859474659,16.152662,11.678906,0.0730648041,0,1,0.6678692928,13.5935703387,0,0.029880822,0.6699782172,-6.215461717,,-5.2558378122,-6.215461717,-0.5356991,-5.237433,14.0708885,0.30010881,0.6678692928,-6.215461717,55,0.004951043,11.8689875845,2.782085,-0.5058183,1.5906126648,0.061245203,0.0034017563,51.4042937756
0.9103803635,16.182236,11.825391,0.0889546871,0,1,0.5846310618,28.8524846494,0,0.028466702,0.5787811059,8.3772226644,,-5.3415944337,8.3772226644,-1.9369371,-5.3268714,15.552722,0.3141625054,0.5846310618,8.3772226644,56,0.0063861148,12.0166635972,2.783914,-1.9084704,1.6193290781,0.06529212,0.003475666,52.3721733093
0.8883883953,16.340513,11.781516,0.0861070156,0,1,0.8085241695,19.5481679092,0,0.060446024,0.8080976167,10.2385898504,,-5.250455475,10.2385898504,-1.2073349,-5.2547593,14.29205,-9.8631379907,0.8085241695,10.2385898504,57,0.008004273,11.9871299612,2.7936475,-1.1468889,1.5650749675,0.0632939339,0.0037209988,53.2679436207
0.8913362026,15.820571,11.660889,0.0813355446,0,1,0.6810855429,-6.4160083054,0,0.047676116,0.6807445341,-29.719811532,,-4.9363174494,-29.719811532,-0.47327945,-4.9135346,11.48791,-18.7843170559,0.6810855429,-29.719811532,58,0.006538341,11.840962227,2.761311,-0.42560333,1.5047027787,0.0613968372,0.0032565594,54.1647667885
0.9167473316,15.769698,11.840115,0.0780272484,0,1,0.6044118715,19.2484236722,0,0.057575047,0.6032129101,23.5742132988,,-4.96251146,23.5742132988,0.34691828,-4.9551682,15.814712,-1.6854899742,0.6044118715,23.5742132988,59,0.0067057526,12.0711847309,2.7580903,0.40449333,1.6310138002,0.0661256313,0.003549099,55.0869324207
0.9083631039,15.540717,11.898101,0.0831820965,0,1,0.7208792199,10.334488338,0,0.06120205,0.7125059823,8.3531996469,,-4.915604674,8.3531996469,0.7098692,-4.910083,12.292659,0.5257331436,0.7208792199,8.3531996469,60,0.009676947,12.0771489106,2.7434635,0.77107126,1.5468380388,0.066860199,0.0038983822,56.0014457703
0.9276165962,16.400972,11.222278,0.0912230015,0,1,0.5266407799,29.7329403136,0,0.098055124,0.52406411,14.2968943651,,-4.0750796043,14.2968943651,-2.7032087,-4.082381,10.8302145,-2.6394508625,0.5266407799,14.2968943651,61,0.008376625,11.4804176257,2.7973406,-2.6051536,1.4486290582,0.0650477409,0.0035920143,56.9382493496
0.9132478237,16.663092,11.495186,0.0843069553,0,1,0.7410788299,-1.321271006,0,0.05518961,0.7423161999,-12.5120848192,,-4.0900929914,-12.5120848192,-0.9269766,-4.0746627,11.699258,-1.1341023465,0.7410788299,-12.5120848192,62,0.0066930433,11.6842099628,2.8131962,-0.871787,1.4712367536,0.0646369457,0.0038006306,57.8571546078
0.9156396389,16.735613,11.712507,0.0818808079,0,1,0.6767933755,4.0664154825,0,0.055298865,0.6760260842,-8.4885371885,,-4.0822391688,-8.4885371885,-1.0386627,-4.08128,11.693552,-2.9678006108,0.6767933755,-8.4885371885,63,0.006583229,11.9357074757,2.817539,-0.9833638,1.54726338,0.0618817806,0.0034518242,58.7804749012
0.9266316891,16.734535,11.433147,0.085265398,0,1,0.7790916391,17.5689957946,0,0.05641198,0.7811585248,22.7852280546,,-3.7229501301,22.7852280546,-2.4709864,-3.7126925,13.818448,-1.9985214059,0.7790916391,22.7852280546,64,0.009876771,11.6608912704,2.8174746,-2.4145744,1.6086211831,0.0639035702,0.0034720898,59.7128708363
0.9068026543,16.95826,11.267623,0.0784785748,0,1,0.7264647004,9.5853192986,0,0.08429611,0.7255381482,6.2746967505,,-3.4573249097,6.2746967505,-0.5210962,-3.4537077,13.177188,-7.2547970658,0.7264647004,6.2746967505,65,0.00704476,11.4632207306,2.830755,-0.43680012,1.572998014,0.0633909702,0.0033905506,60.6250627041
0.927355051,16.971687,10.837664,0.079420805,0,1,0.7192143857,16.2475186819,0,0.083479285,0.7192507919,17.3518928155,,-3.0556090698,17.3518928155,-0.92922616,-3.0540845,10.294651,-8.9093389919,0.7192143857,17.3518928155,66,0.009965617,11.0074988025,2.8315465,-0.8457469,1.436493925,0.0650877953,0.0037329197,61.5583190918
0.9173259735,17.0066,11.252931,0.076002121,0,1,0.7640777011,13.0756367652,0,0.035671286,0.7666996214,-6.9081066754,,-3.2296870073,-6.9081066754,0.07667739,-3.2286177,8.913189,-1.1646118248,0.7640777011,-6.9081066754,67,0.008110671,11.4796448497,2.8336015,0.112348676,1.4573117898,0.065366745,0.0039241314,62.5316991806
0.9374659061,16.789618,11.095965,0.082780838,0,1,0.7734608228,0.0697641004,0,0.06223172,0.7721587322,-12.3844059362,,-3.0276742874,-12.3844059362,-0.5957405,-3.025745,9.45322,-6.4364845883,0.7734608228,-12.3844059362,68,0.00954693,11.3372813126,2.8207607,-0.5335088,1.4348801441,0.0649394989,0.0038821697,63.4785048962
0.9027280807,16.45354,10.997261,0.0837850571,0,1,0.7522451526,-4.9916125303,0,0.06694317,0.7519680662,-19.7812172708,,-2.8733472889,-19.7812172708,-2.2083209,-2.8685224,10.465895,0.3193682556,0.7522451526,-19.7812172708,69,0.009321162,11.212800718,2.8005407,-2.1413777,1.4916509114,0.0647463799,0.0035076141,64.3872315884
0.9115958214,17.52493,10.996113,0.0783212185,0,1,0.7699910108,3.6548831616,0,0.06938052,0.7699228229,-11.5753738634,,-2.6004702215,-11.5753738634,-1.7916179,-2.595484,11.775037,-32.7264499985,0.7699910108,-11.5753738634,70,0.006498372,11.273389953,2.8636243,-1.7222373,1.499386978,0.0608122349,0.0033299923,65.3059134483
0.9164321423,17.79942,11.074567,0.0840826035,0,1,0.7104953002,15.0932416287,0,0.055345297,0.7094419638,13.0446573629,,-2.4524649013,13.0446573629,-3.2561827,-2.4580245,10.104214,-24.4774500017,0.7104953002,13.0446573629,71,0.006452018,11.2711759146,2.879166,-3.2008374,1.4800211893,0.0632505417,0.0039126873,66.2311701775
0.8786790371,18.08423,10.666647,0.0757808685,0,1,0.7971321211,14.0757450465,0,0.031414032,0.7922075854,-2.6280479504,,-1.8322337971,-2.6280479504,-1.206276,-1.8229468,9.8109255,0.4205765789,0.7971321211,-2.6280479504,72,0.008655564,10.8784457573,2.8950403,-1.174862,1.4332996619,0.0612082481,0.0033204556,67.1154305935
0.8799650669,17.945457,10.869838,0.0750825405,0,1,0.7539968771,8.1266813538,0,0.032938004,0.7556532175,-0.9537785044,,-1.7908484873,-0.9537785044,-2.176159,-1.7925285,8.210841,-16.4816142772,0.7539968771,-0.9537785044,73,0.005946577,11.0912404437,2.887337,-2.143221,1.4057947254,0.0616934299,0.0036993027,68.0007667542
